grade_level,school_code,sid,male,race_ethnicity,eco_dis,lep,iep,rdg_ss,math_ss
3,3,69,M,B,0,0,0,1282.473781,1326.425611
3,3,3423,M,B,0,0,0,1329.027886,1368.890777
3,11,4421,M,W,0,0,0,1160.65918,1205.934296
3,4,4949,F,W,1,0,0,1419.392976,1449.571162
3,8,22,F,W,0,0,0,1456.561255,1486.715839
3,11,68,F,A,1,0,0,1665.44217,1686.757334
4,3,69,M,B,0,0,0,1389.201635,1444.736924
3,6,83,M,H,1,0,0,1334.435526,1373.827498
3,10,109,F,W,1,0,0,1407.147787,1438.930109
3,4,111,M,W,0,0,0,1582.380652,1604.029772
3,3,124,M,H,0,0,0,1456.561255,1486.715839
3,6,128,F,H,1,0,0,1350.036534,1387.894626
3,6,135,M,H,1,0,0,1296.672087,1336.977897
3,6,163,M,H,0,0,0,1480.953354,1509.211646
3,6,170,F,A,0,1,0,1144.900913,1189.344326
3,5,209,F,H,0,0,0,1092.588077,1133.986372
3,11,221,F,W,1,0,0,1305.873753,1344.178398
3,6,231,F,B,1,1,0,1339.733736,1378.628844
3,1,282,F,W,0,0,0,1448.447718,1478.301667
3,5,301,F,W,1,0,0,1228.62519,1275.80956
3,11,352,M,W,0,0,0,1733.619231,1754.55381
4,4,359,F,W,0,0,0,1532.526185,1587.40963
3,9,364,F,W,0,0,0,1621.491582,1643.273168
3,6,365,M,H,0,0,1,1282.473781,1326.425611
3,5,375,F,W,0,0,0,1402.595811,1435.186705
3,2,389,F,H,0,0,0,1444.653136,1474.372279
3,3,394,M,W,1,0,0,1744.000258,1764.915627
3,2,397,F,W,0,0,0,1301.73756,1340.839258
3,12,409,M,W,0,0,0,1524.383775,1548.202455
3,11,412,M,H,1,0,0,1144.900913,1189.344326
3,11,435,F,W,0,0,0,1189.870514,1236.261059
3,1,465,F,W,0,0,0,1561.528663,1583.445231
3,5,466,M,W,0,0,0,1329.027886,1368.890777
3,5,478,F,A,1,0,1,1486.161729,1513.790659
3,1,485,F,W,0,0,0,1411.439609,1442.557612
3,6,500,F,H,0,0,0,1423.131498,1453.010332
3,5,540,M,W,1,1,0,1744.000258,1764.915627
3,5,549,F,B,0,0,0,1053.959966,1093.015213
3,12,645,F,W,0,0,0,1440.982028,1470.592607
3,10,653,F,A,0,0,0,1379.219973,1414.242558
3,3,685,F,H,1,1,0,1407.147787,1438.930109
3,6,688,F,D,0,0,0,1776.116268,1797.038434
3,9,710,F,W,1,1,0,1402.595811,1435.186705
3,3,725,M,H,0,0,0,1411.439609,1442.557612
3,10,730,M,W,1,0,0,1656.338172,1677.736484
3,6,751,F,B,1,0,1,1296.672087,1336.977897
3,3,773,M,W,1,0,0,1502.080029,1527.924933
3,6,788,M,W,1,0,0,1674.704086,1695.942234
3,10,810,M,A,1,0,0,1334.435526,1373.827498
3,5,835,M,B,0,0,0,1355.058456,1392.39367
3,3,836,M,W,0,0,0,1415.508509,1446.095776
3,5,874,M,B,1,0,0,1282.473781,1326.425611
3,9,897,M,W,0,0,0,1374.485192,1409.901279
3,6,908,F,B,0,0,0,1369.710317,1405.563054
3,9,911,M,W,0,0,0,1582.380652,1604.029772
3,1,938,F,W,0,0,0,1638.601974,1660.18285
3,5,956,M,B,1,1,0,1312.637822,1350.552911
3,8,978,F,W,0,0,0,1765.248288,1786.156918
3,5,994,M,W,1,0,0,1423.131498,1453.010332
3,6,1047,F,W,1,0,0,1703.442229,1724.491432
3,7,1056,F,W,0,0,0,1323.81134,1363.801378
3,5,1064,M,D,0,0,0,1674.704086,1695.942234
3,6,1067,M,H,1,0,0,1251.631726,1299.140697
3,9,1155,M,W,0,0,0,1638.601974,1660.18285
3,7,1206,M,W,0,0,0,1513.042417,1537.814063
3,8,1220,M,W,0,0,0,1713.340705,1734.342733
3,10,1223,M,D,1,0,1,1315.905459,1354.219732
3,6,1237,F,H,1,0,1,1110.84581,1153.240356
3,9,1327,F,W,0,0,0,1189.870514,1236.261059
3,3,1361,M,A,0,0,0,1568.285767,1590.055692
3,5,1373,M,B,1,0,0,1355.058456,1392.39367
3,2,1375,F,W,0,0,0,1530.223035,1553.617688
3,11,1390,F,W,0,0,1,1613.189589,1635.057259
3,7,1399,M,W,1,0,0,1703.442229,1724.491432
3,5,1401,M,B,1,0,0,1364.88668,1401.21058
3,6,1406,F,W,0,0,0,1530.223035,1553.617688
3,7,1410,F,W,0,0,0,1329.027886,1368.890777
3,10,1437,M,W,0,0,0,1329.027886,1368.890777
3,1,1522,M,W,0,0,0,1513.042417,1537.814063
3,2,1545,M,W,0,0,0,1175.633476,1221.546734
3,6,1567,F,W,1,0,0,1765.248288,1786.156918
3,9,1591,M,W,0,0,0,1262.426153,1309.995746
3,3,1606,F,W,1,0,1,1344.931183,1383.312119
3,5,1646,F,H,0,0,0,1426.762564,1456.439848
3,7,1659,M,W,0,0,0,1216.319659,1263.313052
3,10,1681,M,W,0,0,0,1433.856279,1463.376166
3,11,1688,F,W,0,0,0,1656.338172,1677.736484
3,3,1689,F,D,0,0,0,1319.523338,1358.627228
3,11,1710,F,W,0,0,0,1053.959966,1093.015213
3,9,1724,F,W,0,0,1,1536.188801,1559.198312
3,3,1731,F,A,1,0,0,1448.447718,1478.301667
3,10,1772,F,W,1,0,0,1765.248288,1786.156918
3,4,1799,F,N,0,0,0,1419.392976,1449.571162
3,8,1837,M,W,0,0,0,1437.395905,1466.93609
3,3,1849,M,H,1,0,0,1444.653136,1474.372279
3,3,1859,M,W,1,0,1,1589.739609,1611.42044
3,6,1867,M,W,1,0,1,1383.923327,1418.604196
3,4,1926,F,H,0,0,0,1262.426153,1309.995746
3,7,1951,F,W,0,0,0,1496.714478,1523.133777
3,1,1953,M,W,0,0,0,1262.426153,1309.995746
3,10,2001,M,W,0,0,0,1282.473781,1326.425611
3,2,2026,M,W,1,0,1,1305.873753,1344.178398
3,8,2049,M,W,0,0,0,1228.62519,1275.80956
3,2,2051,F,W,0,0,0,1240.380309,1287.725635
3,8,2069,M,W,0,0,0,1092.588077,1133.986372
3,11,2076,F,W,0,0,0,1092.588077,1133.986372
3,5,2113,F,A,0,0,0,1513.042417,1537.814063
3,3,2117,M,W,1,0,0,1589.739609,1611.42044
3,11,2139,F,W,1,0,0,1656.338172,1677.736484
3,12,2140,M,W,0,0,1,1312.637822,1350.552911
3,9,2177,F,H,1,0,0,1629.968797,1651.648025
3,6,2212,F,W,1,0,0,1393.270422,1427.245948
3,8,2232,F,W,0,0,1,1776.116268,1797.038434
3,3,2255,M,H,0,0,0,1518.660431,1542.939089
3,6,2279,M,W,1,1,0,1407.147787,1438.930109
3,6,2283,F,H,1,0,0,1240.380309,1287.725635
3,6,2313,F,B,1,0,0,1723.399542,1744.363186
3,12,2376,M,A,0,0,0,1674.704086,1695.942234
3,6,2400,M,B,1,0,0,1312.637822,1350.552911
3,10,2425,F,W,0,0,0,1374.485192,1409.901279
3,6,2476,M,A,0,0,0,1189.870514,1236.261059
3,8,2478,M,W,0,0,0,1542.291659,1564.957853
3,8,2491,M,W,0,0,0,1496.714478,1523.133777
3,3,2509,F,H,0,0,0,1597.320359,1619.098199
3,2,2535,M,W,0,0,0,1776.116268,1797.038434
3,12,2549,F,W,0,0,0,1160.65918,1205.934296
3,12,2555,F,W,1,0,0,1379.219973,1414.242558
3,11,2582,M,W,1,0,0,1397.931496,1431.300839
3,3,2616,M,D,0,0,0,1561.528663,1583.445231
3,10,2631,F,A,0,0,0,1319.523338,1358.627228
3,5,2635,M,H,1,0,0,1110.84581,1153.240356
3,3,2668,F,D,0,0,0,1518.660431,1542.939089
3,4,2726,M,W,0,1,0,1360.005615,1396.826554
3,5,2740,M,B,0,0,0,1496.714478,1523.133777
3,11,2767,F,W,0,0,0,1430.324661,1459.886272
3,2,2782,F,W,0,0,0,1393.270422,1427.245948
3,10,2823,F,W,0,0,0,1542.291659,1564.957853
3,11,2860,M,N,1,0,0,1437.395905,1466.93609
3,7,2884,F,W,0,0,0,1723.399542,1744.363186
3,5,2931,F,W,1,0,0,1507.519146,1532.813853
3,5,2962,M,W,1,0,0,1175.633476,1221.546734
3,1,2965,F,W,1,0,0,1491.411908,1518.426861
3,8,2976,M,W,0,0,0,1647.391603,1668.878663
3,4,2990,F,W,1,0,0,1189.870514,1236.261059
3,6,2991,F,H,0,0,0,1319.523338,1358.627228
3,3,3013,F,H,1,0,0,1329.027886,1368.890777
3,7,3030,F,W,1,0,0,1296.672087,1336.977897
3,6,3033,M,H,0,0,0,1393.270422,1427.245948
3,5,3046,M,B,0,0,0,1518.660431,1542.939089
3,5,3062,F,W,1,0,0,1323.81134,1363.801378
3,8,3092,M,W,0,0,0,1440.982028,1470.592607
3,6,3116,F,W,1,0,0,1776.116268,1797.038434
3,6,3139,F,W,1,0,1,1282.473781,1326.425611
3,1,3143,M,W,0,0,1,1470.619667,1500.171085
3,3,3167,M,H,1,0,0,1312.637822,1350.552911
3,6,3173,M,B,0,0,0,1597.320359,1619.098199
3,3,3193,M,B,0,0,0,1426.762564,1456.439848
3,5,3194,F,H,0,1,0,1437.395905,1466.93609
3,6,3196,F,W,0,0,0,1189.870514,1236.261059
3,6,3207,F,B,1,0,0,1754.543115,1775.449656
3,3,3218,F,H,0,0,0,1426.762564,1456.439848
3,2,3221,M,W,0,0,0,1693.703627,1714.808262
3,2,3248,F,W,0,0,0,1334.435526,1373.827498
3,3,3304,M,H,1,0,0,1465.630547,1495.682486
3,6,3319,F,W,1,0,0,1480.953354,1509.211646
3,7,3338,M,W,0,0,1,1360.005615,1396.826554
3,6,3346,F,W,0,0,1,1423.131498,1453.010332
3,2,3348,F,W,0,0,0,1355.058456,1392.39367
3,10,3354,M,W,0,0,0,1189.870514,1236.261059
3,6,3400,M,W,1,0,0,1092.588077,1133.986372
3,3,3413,F,W,1,0,0,1415.508509,1446.095776
4,3,3423,M,B,0,0,0,1409.324752,1465.999484
3,12,3454,M,W,0,0,1,1674.704086,1695.942234
3,5,3467,M,W,1,0,0,1419.392976,1449.571162
3,10,3473,F,W,0,0,0,1397.931496,1431.300839
3,6,3479,F,W,1,0,0,1548.542197,1570.909836
3,12,3482,F,W,0,0,0,1518.660431,1542.939089
3,11,3527,M,W,0,0,0,1144.900913,1189.344326
3,3,3535,F,W,1,0,0,1383.923327,1418.604196
3,6,3536,F,B,1,0,0,1388.603921,1422.995471
3,6,3578,M,H,0,0,0,1536.188801,1559.198312
3,10,3585,M,W,0,0,0,1329.027886,1368.890777
3,11,3596,M,W,0,0,0,1110.84581,1153.240356
3,4,3621,M,W,0,0,1,1262.426153,1309.995746
3,10,3671,M,B,1,0,0,1433.856279,1463.376166
3,5,3690,M,W,1,0,0,1364.88668,1401.21058
3,3,3739,M,H,0,0,0,1452.404261,1482.407334
3,5,3741,F,H,0,0,0,1554.951002,1577.067787
3,12,3744,F,W,0,0,0,1393.270422,1427.245948
3,6,3750,F,B,0,0,0,1419.392976,1449.571162
3,11,3760,F,W,0,0,0,1723.399542,1744.363186
3,3,3762,M,B,0,0,0,1397.931496,1431.300839
3,6,3777,M,A,0,1,0,1092.588077,1133.986372
3,10,3792,M,W,0,0,0,1360.005615,1396.826554
3,3,3799,M,W,0,0,0,1379.219973,1414.242558
3,12,3807,M,W,0,0,0,1189.870514,1236.261059
3,12,3837,F,B,0,0,0,1402.595811,1435.186705
3,3,3851,M,H,0,1,0,1175.633476,1221.546734
3,3,3853,M,W,1,1,0,1053.959966,1093.015213
3,3,3878,M,B,1,0,0,1334.435526,1373.827498
3,11,3881,M,H,0,0,0,1486.161729,1513.790659
3,10,3944,F,H,1,0,0,1456.561255,1486.715839
3,5,4008,F,H,0,0,0,1568.285767,1590.055692
3,5,4017,F,H,0,0,0,1160.65918,1205.934296
3,6,4061,F,H,0,0,0,1703.442229,1724.491432
3,3,4092,F,B,1,0,0,1621.491582,1643.273168
3,6,4098,M,H,0,0,0,1656.338172,1677.736484
3,6,4099,F,B,1,0,0,1334.435526,1373.827498
3,11,4104,M,W,0,0,0,1426.762564,1456.439848
3,3,4109,M,H,1,0,1,1290.357454,1332.278589
3,8,4117,F,W,0,0,0,1240.380309,1287.725635
3,11,4120,F,W,1,0,1,1460.957188,1491.196974
3,9,4129,M,B,1,0,0,1465.630547,1495.682486
3,6,4133,M,W,0,0,0,1444.653136,1474.372279
3,6,4142,M,H,0,0,0,1379.219973,1414.242558
3,6,4196,M,B,0,0,0,1744.000258,1764.915627
3,2,4201,M,W,0,0,0,1597.320359,1619.098199
3,9,4205,M,W,0,0,0,1160.65918,1205.934296
3,3,4218,M,W,1,0,0,1430.324661,1459.886272
3,4,4250,F,W,0,0,0,1613.189589,1635.057259
3,2,4258,M,W,0,0,0,1033.567127,1071.238153
3,6,4284,M,W,1,0,1,1128.311965,1171.713198
3,9,4291,F,W,0,0,0,1290.357454,1332.278589
3,10,4293,F,H,1,0,0,1665.44217,1686.757334
3,10,4310,M,W,0,0,0,1423.131498,1453.010332
3,6,4323,F,W,0,0,0,1383.923327,1418.604196
3,4,4371,F,W,0,0,0,1319.523338,1358.627228
3,2,4384,M,W,0,0,0,1448.447718,1478.301667
3,6,4387,M,W,1,0,0,1452.404261,1482.407334
3,8,4395,M,W,0,0,0,1315.905459,1354.219732
4,11,4421,M,W,1,0,0,1257.222758,1307.574667
3,4,4422,F,W,0,0,0,1561.528663,1583.445231
3,6,4463,M,B,1,0,0,1344.931183,1383.312119
3,6,4469,F,H,1,0,0,1282.473781,1326.425611
3,7,4476,F,W,1,0,0,1536.188801,1559.198312
3,6,4477,M,B,1,0,0,1723.399542,1744.363186
3,10,4480,F,H,0,0,0,1203.417004,1250.156692
3,9,4497,F,W,0,0,0,1448.447718,1478.301667
3,8,4529,M,W,0,0,0,1397.931496,1431.300839
3,6,4532,F,H,0,0,0,1323.81134,1363.801378
3,5,4553,M,W,1,0,1,1430.324661,1459.886272
3,11,4630,F,W,0,0,0,1561.528663,1583.445231
3,2,4636,M,W,1,0,0,1388.603921,1422.995471
3,12,4653,F,W,0,0,0,1754.543115,1775.449656
3,12,4687,F,B,1,0,0,1460.957188,1491.196974
3,12,4700,M,H,1,0,1,1518.660431,1542.939089
3,9,4708,F,W,0,0,0,1480.953354,1509.211646
3,3,4718,F,B,1,0,0,1444.653136,1474.372279
3,11,4719,M,H,1,0,0,1470.619667,1500.171085
3,4,4725,M,H,0,0,0,1364.88668,1401.21058
3,7,4729,M,W,0,0,0,1456.561255,1486.715839
3,3,4749,M,H,0,0,0,1315.905459,1354.219732
3,11,4797,M,B,0,0,1,1189.870514,1236.261059
3,2,4810,F,W,1,1,0,1744.000258,1764.915627
3,4,4813,M,W,1,0,0,1465.630547,1495.682486
3,5,4867,F,W,1,0,0,1605.13349,1626.999276
3,2,4906,F,W,1,0,0,1053.959966,1093.015213
3,5,4909,F,B,1,0,0,1203.417004,1250.156692
3,2,4943,M,W,0,0,0,1128.311965,1171.713198
4,4,4949,F,W,1,0,0,1485.316751,1542.462719
3,5,4983,M,H,1,0,0,1684.124408,1705.292203
3,7,4984,M,W,0,0,0,1496.714478,1523.133777
3,8,4993,M,W,1,0,0,1397.931496,1431.300839
3,3,4996,M,A,0,0,0,1744.000258,1764.915627
3,1,3,F,W,0,0,1,1629.968797,1651.648025
3,6,6,M,W,1,0,1,1460.957188,1491.196974
3,5,9,M,B,0,0,0,1713.340705,1734.342733
3,12,10,F,H,1,0,0,1444.653136,1474.372279
3,5,11,M,B,0,0,0,1542.291659,1564.957853
3,5,17,M,B,1,0,0,1339.733736,1378.628844
3,7,21,M,W,0,0,0,1433.856279,1463.376166
4,8,22,F,W,0,0,0,1516.715535,1573.785893
3,1,23,M,W,0,0,0,1407.147787,1438.930109
3,1,34,M,H,0,0,0,1388.603921,1422.995471
3,11,36,F,W,1,0,0,1301.73756,1340.839258
3,7,43,M,W,1,0,0,1228.62519,1275.80956
3,7,49,F,W,0,0,1,1437.395905,1466.93609
3,6,55,M,W,1,0,0,1309.400547,1347.311041
3,3,60,M,B,1,0,0,1530.223035,1553.617688
3,5,63,F,H,0,0,0,1475.776196,1504.676296
3,11,64,M,W,0,0,0,1568.285767,1590.055692
4,11,68,F,A,1,0,0,1741.189294,1791.947157
5,3,69,M,B,0,0,0,1435.229687,1511.451475
3,6,78,M,H,0,0,0,1437.395905,1466.93609
3,7,82,F,W,0,0,1,1542.291659,1564.957853
4,6,83,M,H,1,0,0,1414.083149,1470.160947
3,5,86,F,W,1,0,0,1452.404261,1482.407334
3,1,87,F,W,0,0,0,1647.391603,1668.878663
3,2,89,F,W,0,0,0,1128.311965,1171.713198
3,5,93,M,W,1,0,0,1684.124408,1705.292203
3,8,99,F,W,1,0,0,1329.027886,1368.890777
3,4,100,M,W,0,0,1,1393.270422,1427.245948
3,6,104,M,H,1,0,1,1530.223035,1553.617688
3,12,107,F,W,0,0,0,1388.603921,1422.995471
4,10,109,F,W,1,0,0,1469.463241,1526.875727
4,4,111,M,W,0,0,0,1653.540276,1705.106977
3,7,118,F,W,0,0,0,1684.124408,1705.292203
3,9,121,M,H,0,0,0,1360.005615,1396.826554
4,3,124,M,H,0,0,0,1520.237717,1576.8824
4,6,128,F,H,1,0,0,1443.177219,1500.674769
3,6,134,F,W,1,0,1,1433.856279,1463.376166
4,6,135,M,H,1,0,0,1380.105444,1432.84327
3,12,137,F,H,0,0,0,1319.523338,1358.627228
3,11,140,F,W,1,0,0,1388.603921,1422.995471
3,8,157,F,W,0,0,0,1189.870514,1236.261059
3,12,158,F,W,1,0,0,1744.000258,1764.915627
3,4,162,F,A,0,0,0,1568.285767,1590.055692
4,6,163,M,H,0,0,0,1558.328741,1611.318198
3,5,168,M,W,1,0,1,1319.523338,1358.627228
3,3,169,M,B,1,0,0,1475.776196,1504.676296
4,6,170,F,A,0,1,0,1257.222758,1307.574667
3,10,178,M,B,1,0,1,1339.733736,1378.628844
3,9,181,M,W,0,0,0,1518.660431,1542.939089
3,3,183,F,W,0,0,0,1262.426153,1309.995746
3,12,184,F,W,0,0,0,1542.291659,1564.957853
3,8,192,F,W,0,0,0,1369.710317,1405.563054
3,8,198,F,W,0,0,0,1733.619231,1754.55381
3,9,203,M,B,0,0,0,1339.733736,1378.628844
3,8,205,F,W,1,1,0,1605.13349,1626.999276
3,10,206,F,W,0,0,0,1465.630547,1495.682486
3,6,208,F,W,0,0,0,1703.442229,1724.491432
4,5,209,F,H,0,0,0,1190.573108,1242.788265
3,6,210,M,W,1,0,0,1344.931183,1383.312119
3,12,219,M,W,1,0,0,1383.923327,1418.604196
4,11,221,F,W,1,0,0,1398.618005,1456.128521
3,12,222,F,W,0,0,0,1411.439609,1442.557612
3,10,224,M,W,0,0,0,1282.473781,1326.425611
4,6,231,F,B,1,1,0,1431.472473,1488.491693
3,9,233,F,W,1,0,0,1319.523338,1358.627228
